email_text,subject,sender,label
"Urgent: Your Chase bank account has been locked due to suspicious activity. Please click http://192.168.1.105/chase/verify to verify your identity immediately and restore access.",Urgent: Account Suspended,security@chase-security-update.xyz,Phishing
"Dear customer, your PayPal account was accessed from an unknown device in Moscow. Click http://bit.ly/paypal-sec-auth to confirm password and secure your account now.",Security Alert: Unauthorized Login,service@paypa1-support.com,Phishing
"Final Notice: Your Netflix subscription payment failed. Your service will be terminated in 24 hours. Update billing details immediately at http://netflix-billing-fix.top/login",Payment Failed: Urgent Action Required,billing@netflx-account.info,Phishing
"You have received a new document from HR via DocuSign. Click here http://docusign-verify-user.club/view to sign immediately. Limited time before access expires.",Action Required: Sign Document Now,hr-notify@docusign-user.xyz,Phishing
"Congratulations! You have been selected to receive a $1000 Amazon Gift Card. Click http://bit.ly/claim-amazon-card-2026 to claim prize immediately!",You Won! Claim Your $1000 Gift Card,rewards@amaz0n-promo.tech,Phishing
"WARNING: Your Microsoft 365 password expires in 2 hours. Keep your current password by verifying at http://micr0soft-365-pass.xyz/verify",Password Expiration Warning,admin@micr0soft-online.com,Phishing
"URGENT: Suspicious wire transfer attempt of $4500 detected. If you did not authorize this, log in immediately at http://10.12.4.88/bank/cancel to reverse transaction.",Urgent: Unauthorized Wire Transfer,alerts@wellsfargo-secure.xyz,Phishing
"Your Apple ID was used to sign in to iCloud on a new iPad. If this was not you, confirm your account details at http://appleid-security-fix.club/auth",Apple ID Alert: Login Attempted,no-reply@appleid-verify.info,Phishing
"IRS Tax Refund Notification: You are eligible for a tax refund of $1845.20. Submit your bank details now at http://irs-tax-refund-gov.xyz/claim",Tax Refund Confirmation Notice,refunds@irs-gov-online.top,Phishing
"MetaMask Notice: Your crypto wallet will be suspended due to unverified KYC regulations. Click http://bit.ly/metamask-kyc-fix to confirm identity.",Wallet Suspension Notice,support@metamask-sec.net,Phishing
"Your FedEx package delivery failed because of an incorrect shipping address. Pay $1.99 redelivery fee at http://fedex-parcel-redeliver.top/tracking",FedEx Delivery Failure Alert,tracking@fedx-express.xyz,Phishing
"Dear employee, HR requires immediate verification of direct deposit details. Fail to update by 5PM will hold your paycheck. Click http://hr-payroll-portal.xyz/verify",Mandatory HR Payroll Update,payroll@company-hr-portal.xyz,Phishing
"Security Alert: Your Google Workspace account password must be reset immediately due to security breach. http://g00gle-accounts-sec.club/reset",Critical Security Breach Notice,security@g00gle-accounts.com,Phishing
"You have 1 unread urgent secure message from your bank manager. Log in now at http://192.168.0.12/bank/inbox to read message.",1 Unread Urgent Security Message,service@bank-secure-msg.xyz,Phishing
"Your eBay account has been restricted due to policy violation. Click http://bit.ly/ebay-verify-acc to confirm password and restore buying privileges.",Account Restricted: Action Required,support@ebay-account-fix.info,Phishing
"Cryptocurrency Alert: 2.5 BTC credited to your Binance account. Confirm transfer and withdraw funds immediately at http://binance-crypto-withdraw.top/claim",Deposit Confirmed: 2.5 BTC,notify@binance-crypto-alert.xyz,Phishing
"Your Zoom meeting room is reserved. Upgrade to Zoom Pro for free before trial expires by clicking http://zoom-pro-upgrade.xyz/claim",Upgrade Zoom Pro Subscription Free,offers@zoom-upgrade.tech,Phishing
"Dropbox Alert: Storage quota exceeded. Upgrade storage immediately or your files will be deleted in 12 hours. http://bit.ly/dropbox-storage-fix",Storage Full: File Deletion Imminent,no-reply@dropbox-storage.info,Phishing
"Your American Express credit card was charged $1299.99 at Best Buy. If you did not make this purchase, verify immediately at http://amex-fraud-alert.club/dispute",Amex Fraud Alert: Large Transaction,fraud@americanexpress-alert.xyz,Phishing
"Geek Squad Renewal Notice: $399.99 has been automatically debited from your account. To cancel subscription call or click http://geeksquad-refund.top/cancel",Invoice #88392 Renewal Confirmation,billing@geeksquad-support.info,Phishing
"LinkedIn Security Notice: Someone attempted to access your network profile from an untrusted browser. Confirm identity at http://linkedin-sec-auth.xyz/verify",Security Notice: Profile Login Attempt,security@linkedin-verify.net,Phishing
"Your Webmail account storage is 99% full. Click http://192.168.1.55/webmail/upgrade to increase quota now and avoid missing emails.",Webmail Quota Warning,admin@webmail-server-alert.top,Phishing
"Urgent Security Patch: Corporate IT mandates immediate update of VPN software. Download installer from http://vpn-update-corp.xyz/patch.exe",IT Notice: Mandatory VPN Security Patch,it@corporate-security-fix.info,Phishing
"Your Instagram account will be deleted for copyright infringement unless you fill out the dispute form at http://bit.ly/insta-copyright-appeal",Copyright Infringement Warning,copyright@instagram-helpdesk.xyz,Phishing
"McAfee Antivirus Protection Expired! Your computer is at high risk of virus infection. Renew now with 80% discount at http://mcafee-protect-renew.top/buy",Virus Alert: System Compromised,protection@mcafee-renew-alert.info,Phishing
"Your Steam account was logged into from China. If you did not authorize this, block access immediately at http://steam-guard-sec.xyz/block",Steam Guard: Unauthorized Access,support@steam-community-sec.tech,Phishing
"Hi team, attached is the agenda for our weekly project sync tomorrow at 10 AM. Please review the slides before the meeting.",Weekly Team Sync - Agenda & Slides,alex.smith@company.com,Safe
"Thank you for your order #49281. We have received your payment and your items are being prepared for shipment. Tracking details will follow.",Order Confirmation #49281,orders@amazon.com,Safe
"Hi John, please find the quarterly financial report attached. Let me know if you have any questions before the board meeting next Tuesday.",Quarterly Financial Report Draft,financials@company.com,Safe
"Here is the monthly newsletter from Tech Insights covering the latest trends in Python development, machine learning, and cloud architecture.",Tech Insights Newsletter - August Edition,newsletter@techinsights.io,Safe
"Your flight reservation to Chicago (Flight UA 482) is confirmed. You can check in online 24 hours prior to departure via our official app or website.",Flight Confirmation: UA 482 to Chicago,reservations@united.com,Safe
"Hi everyone, just a friendly reminder that open enrollment for annual health insurance benefits ends next Friday. Please complete your selection in HR portal.",Reminder: Annual Benefits Open Enrollment,hr@company.com,Safe
"Your password for your GitHub account was successfully changed on August 15 at 14:32 UTC. If you performed this action, no further steps are needed.",GitHub Security Notification: Password Changed,noreply@github.com,Safe
"Hi team, pull request #104 (Fix typos in documentation) has been reviewed and merged into the main branch by Sarah.",PR #104 Merged: Documentation Update,notifications@github.com,Safe
"Your monthly bank statement for account ending in 4829 is now available. Log in to your mobile app or official online portal to view.",Monthly Bank Statement Available,service@chase.com,Safe
"Hi David, thanks for joining yesterday's workshop. Here are the slides and code repository links we discussed during the presentation.",Workshop Follow-up & Code Resources,instructor@pythoninstitute.org,Safe
"Your table reservation at Bistro Italia for 4 people on Friday at 7:30 PM has been confirmed. We look forward to welcoming you.",Table Reservation Confirmed - Bistro Italia,reservations@bistroitalia.com,Safe
